Survey ID,Gender,Age,Own or rent,Dwelling type,Dwelling type Other,Area of College Station,Highest level of education you have completed,Years have you lived in College Station,Survey source,Attend Blinn College or Texas A&M,Number of people age 19 and older in household,City employee,Importance of attracting business and jobs,Importance of attracting tourism,Importance of programs to retain and support existing businesses,Importance of enforcing traffic laws,Importance of code enforcement services,Importance of educating the public on crime prevention,Importance of animal control services,Importance of maintaining streets and roads,"Importance of biking/walking facilities  such as sidewalks, trails, bikeways, etc.)",Importance of managing traffic congestion,Importance of maintaining appearance of parks,Importance of providing a variety of recreation youth programs,Importance of providing a variety of adult recreation programs,Importance of library services,Importance of senior citizen services,"Importance of special events (Starlight Music Series, Christmas in the Park, etc.)",Importance of managing trash and recycling collection,Importance of managing stormwater drainage,Importance of police department services,Importance of fire department Services,Top 3 most important - attracting business and jobs,Top 3 most important - attracting tourism,Top 3 most important - programs to retain and support existing businesses,Top 3 most important - enforcing traffic laws,Top 3 most important - code enforcement services,Top 3 most important - educating the public on crime prevention,Top 3 most important - animal control services,Top 3 most important - maintaining streets and roads,"Top 3 most important - biking/walking facilities  such as sidewalks, trails, bikeways, etc.)",Top 3 most important - managing traffic congestion,Top 3 most important - maintaining appearance of parks,Top 3 most important - providing a variety of recreation youth programs,Top 3 most important - providing a variety of adult recreation programs,Top 3 most important - library services,Top 3 most important - senior citizen services,"Top 3 most important - special events (Starlight Music Series, Christmas in the Park, etc.)",Top 3 most important - managing trash and recycling collection,Top 3 most important - managing stormwater drainage,Top 3 most important - police department services,Top 3 most important - fire department Services,No first choice for top 3 service,No second choice for top 3 service,No third choice for top 3 service,Quality of attracting business and jobs,Quality of attracting tourism,Quality of programs to retain and support existing businesses,Quality of enforcing traffic laws,Quality of code enforcement services,Quality of educating the public on crime prevention,Quality of animal control services,Quality of maintaining streets and roads,"Quality of biking/walking facilities  such as sidewalks, trails, bikeways, etc.)",Quality of managing traffic congestion,Quality of maintaining appearance of parks,Quality of providing a variety of recreation youth programs,Quality of providing a variety of adult recreation programs,Quality of library services,Quality of senior citizen services,"Quality of special events (Starlight Music Series, Christmas in the Park, etc.)",Quality of managing trash and recycling collection,Quality of managing stormwater drainage,Quality of police department services,Quality of fire department Services,Quality of water services,Quality of wastewater services (sewer),Quality of electric utility services,Additional comments about specific city services or departments,Rate College Station as a place to live,Rate your neighborhood as a place to live,Rate College Station as a place to raise a family,Rate College Station as a place to do business,Rate College Station as a place to work,Rate College Station as a place to retire,Rate College Station's overall image/reputation,Rate the value of services you receive for your tax dollars,Rate the overall quality of city services,What do you value MOST about living in College Station?,"If you could change ONE THING about College Station, what would it be",What would you say should be College Station's highest priority,What types of retail and commercial development would you like to see in College Station,How likely are you to recommend College Station as a place to live,"Agree with this statement, College Station is moving in the right direction as a community",Importance of availability of open space,How could the city's customer service be improved,Importance of quality shopping opportunities,Importance of overall appearance of college station,Importance of appearance of neighborhoods,Importance of availability of medical/health care facilities,Importance of recreational opportunities,Importance of educational opportunities,Importance of entertainment opportunities,Importance of cultural activities,Importance of opportunities to participate in local government,Importance of ease of car travel around town,Importance of job opportunities,Importance of business opportunities,"Importance of support of sustainability, environmental and green issues",Importance of volunteer opportunities,Importance of quality of business and service establishments,Importance of quality of new development,Importance of ease of bicycle travel around town,Importance of sense of community,Importance of availability of quality affordable housing,Top 3 most important -  quality shopping opportunities,Top 3 most important -  overall appearance of college station,Top 3 most important -  appearance of neighborhoods,Top 3 most important -  availability of medical/health care facilities,Top 3 most important -  recreational opportunities,Top 3 most important -  educational opportunities,Top 3 most important -  entertainment opportunities,Top 3 most important -  cultural activities,Top 3 most important -  opportunities to participate in local government,Top 3 most important -  ease of car travel around town,Top 3 most important -  job opportunities,Top 3 most important -  business opportunities,"Top 3 most important -  support of sustainability, environmental and green issues",Top 3 most important -  volunteer opportunities,Top 3 most important -  quality of business and service establishments,Top 3 most important -  quality of new development,Top 3 most important -  availability of open space,Top 3 most important -  ease of bicycle travel around town,Top 3 most important -  sense of community,Top 3 most important -  availability of quality affordable housing,No first choice for top 3 community characteristic,No second choice for top 3 community characteristic,No third choice for top 3 community characteristic,Have you had any contact with a city employee(s) in the last 12 months,"Impression with the city employee(s) regarding their courtesy, knowledge and responsiveness",How safe do you feel in your neighborhood,Do you think crime in College Station is increasing or decreasing,Information preference about city government activities - city website (cstx.gov),Information preference about city government activities - local newspapers,Information preference about city government activities - city cable channel (Ch. 19),Information preference about city government activities - Local radio stations,Information preference about city government activities - Utility bill newsletter,Information preference about city government activities - Local TV stations,"Information preference about city government activities - Social media (Facebok, Twitter, etc.)",Information preference about city government activities - Other,Information preference Other,Top 3 communication method - city website (cstx.gov),Top 3 communication method - local newspapers,Top 3 communication method - city cable channel (Ch. 19),Top 3 communication method - local radio stations,Top 3 communication method - utility bill newsletter,Top 3 communication method - local TV stations,"Top 3 communication method - social media (Facebok, Twitter, etc.)",No first choice for top 3 communication method,No second choice for top 3 communication method,No third choice for top 3 communication method,"Do you receive enough information about city programs, activities and events?",How could the city improve its public communication efforts?,Rate quality of Southwood Community Center,Rate quality of Lincoln Recreation Center,Rate quality of College Station City Hall,Rate quality of Municipal Court,Importance for for the city to provide additional facilities for senior activities and programs,Importance for for the city to provide additional facilities for youth activities and programs,Importance for for the city to provide additional facilities for community meeting and activity space,Importance for for the city to provide additional facilities for city of ces and services,Additional comments about College Station's municipal buildings and facilities,Age groups represented by children in household first choice,Age groups represented by children in household second choice,Age groups represented by children in household third choice,Age groups represented by children in household fourth choice,location
1,Male,45-54,Own,Single-family unit,,Area B - North of Bird Pond Rd and East of Texas Ave.,Some college or technical school,More than 20 years,Online,Neither,Three,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,,,,,,,,,,,,,1,2,3,,,,,,,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,,,,1,1,1,,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,1,2,3,,,,,,,,,,,,,,,,,,,,,Yes,Excellent,Very Safe,Staying the Same,Local newspapers,City cable channel (Ch. 1),,,,,,,,1,,,2,,,3,,,,Yes,,Good,Fair,Poor,Good,Somewhat Unimportant,Somewhat Important,Somewhat Important,Very Important,,13 to 15 years old,,,,"(30.639968, -96.2746347)"
2,Female,65 or older,Own,Single-family unit,,Area B - North of Bird Pond Rd and East of Texas Ave.,,More than 20 years,Online,Neither,Three,No,Somewhat Important,Not Important At All,Somewhat Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,,,,,,,,3,,,,,,,,,,,1,2,,,,No Opinion,No Opinion,No Opinion,Good,Fair,Good,Good,Poor,Good,Fair,Good,Good,Fair,Fair,Fair,Good,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,Focus more on providing services and maintaining roads and traffic congestion for those who live here than on trying to attract more businesses and residents.,Good,Excellent,Excellent,Good,Excellent,Good,Excellent,Good,Good,Access to academic programs and citizens who value education.,It would have a downtown.,Managing growth while preserving neighborhoods.,Good quality restaurants.,1,2,1,,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,,,,,,1,,3,2,,,,,,,,,,,,,,,Yes,Good,Somewhat Safe,Increasing,City website (cstx.gov),Local newspapers,City cable channel (Ch. 1),Utility bill newsletter,Local TV stations,,,,,3,2,,,,1,,,,,Yes,Don't run the same programs over and over.  Interview interesting people in town.  Provide more information on what other communities are doing to improve their cities.  Provide more coverage of local events.,Fair,Poor,Good,Good,Somewhat Important,Very Important,Very Important,Somewhat Important,We need a community center to replace the conference center.  We need a city hall that makes a positive statement about city government.  It would be great if this could be part of a town center since College Station has never had a real town center.  ,None under 19 in household,,,,"(30.639968, -96.2746347)"
3,Male,65 or older,Own,Single-family unit,,Area B - North of Bird Pond Rd and East of Texas Ave.,,More than 20 years,Online,Neither,Three,No,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,,,,,,,,,,3,,,,,,,,,1,2,,,,Good,Good,Fair,Fair,Poor,Poor,Fair,Fair,Fair,Poor,Good,Good,Good,Good,Fair,Good,Good,Poor,Excellent,Excellent,Excellent,Excellent,Good,Bring additional focus to maintaining or enhancing the quality of life in our neighborhoods.  The survey addresses this topic only indirectly.,Good,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Good,Proximity of neighborhood to work,"Generate more income (City) to finance major public features such as large parks, multiple nature centers, museums, theaters,  . . .",Quality of life encompasses everything else,"More restaurants, computer hardware and software development, architectural design, . . .",1,1,1,Add administrative staff to facilitate / expedite  responsiveness,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,,1,,,,,,3,,,2,,,,,,,,,,,,,Yes,Good,Very Safe,Increasing,Local newspapers,City cable channel (Ch. 1),Local radio stations,Local TV stations,,,,,,,1,2,,,3,,,,,Yes,Explain the rules for items being included on the City Council's 'Consent' Agenda wherein public discussion may not occur,Good,Good,Poor,Fair,Somewhat Important,Very Important,Very Important,Very Important,"Generally, too small for the volume and kinds of businesses being conducted.  This makes public access difficult.  Good public buildings should show by their appearance that they stand for something important.  Consider the magnificent courthouses scattered across many rural Texas counties.  Now, those folks cared a great deal about their governm",None under 19 in household,,,,"(30.639968, -96.2746347)"
4,Female,65 or older,Own,Single-family unit,,Area C - South of Rock Prairie Rd. and West of Hwy. 6,Graduated high school,More than 20 years,Online,Neither,One,Yes,Somewhat Important,Not Important At All,Somewhat Unimportant,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,,,,,3,,,,,,,,,,,,,,1,2,,,,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Good,Good,Excellent,Fair,Fair,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Need more north - south through streets.  Overall I think the city take pretty good care of its business.,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,The employees of the city.,Traffic,Traffic,A greater variety of shops in the mall.,1,1,1,Have always had good contact with city employees.,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,,3,,,,,,,,1,,,,,,,2,,,,,,,Yes,Excellent,Very Safe,Increasing,Local newspapers,City cable channel (Ch. 1),Local radio stations,Local TV stations,,,,,,2,3,,,,1,,,,,Yes,.,Excellent,Good,Excellent,Excellent,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,No,None under 19 in household,,,,"(30.5319423, -96.2972832)"
5,Female,45-54,Own,Single-family unit,,Area B - North of Bird Pond Rd and East of Texas Ave.,,7 to 10 years,Online,Neither,Two,No,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Unimportant,Not Important At All,Somewhat Unimportant,Somewhat Important,Somewhat Important,Somewhat Unimportant,Somewhat Important,Somewhat Unimportant,Somewhat Unimportant,Somewhat Important,Somewhat Unimportant,Somewhat Important,Somewhat Unimportant,Somewhat Unimportant,Somewhat Important,Somewhat Important,,,1,,,,,2,3,,,,,,,,,,,,,,,Good,Good,Poor,Good,Fair,Fair,Fair,Good,Fair,Fair,Good,Good,Good,Good,Fair,Poor,Fair,Fair,Good,Good,Good,Good,Good,,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,,,Long range planning- follow and implement adopted plana,Those attracting outside dollars,2,2,1,,Somewhat Unimportant,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Unimportant,Somewhat Unimportant,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Unimportant,Somewhat Unimportant,Very Important,Somewhat Unimportant,Very Important,Somewhat Important,,3,,,,,,,,,,,,,,1,2,,,,,,,No,,Very Safe,Staying the Same,Local newspapers,,,,,,,,,2,1,,,,,3,,,,Yes,,Poor,Poor,Poor,Good,Somewhat Unimportant,Somewhat Important,Somewhat Unimportant,Somewhat Important,,None under 19 in household,,,,"(30.639968, -96.2746347)"
6,Male,65 or older,Own,Single-family unit,,Area B - North of Bird Pond Rd and East of Texas Ave.,,More than 20 years,Online,Neither,Two,No,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,,,,,,,,,3,,,,,,,,,,1,2,,,,Good,Good,Fair,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,"Sense of community - safe, friendly and low key",Greater investment in parks and recreation,Safety,"Not sure, but redevelopment of Chimney Hill vacant building on University and vacant Albertson's building really needs to occur before more new buildings are built.",1,1,1,I have had very positive interactions with city staff over the past five years  from serving on various city committees,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,,,,,,,,,,2,,,,3,,,,1,,,,,,Yes,Excellent,Very Safe,Increasing,City website (cstx.gov),Local newspapers,City cable channel (Ch. 1),Utility bill newsletter,Local TV stations,,,,,1,2,,,3,,,,,,Yes,,Fair,No Opinion,Fair,Good,Very Important,Very Important,Very Important,Very Important,,None under 19 in household,,,,"(30.639968, -96.2746347)"
7,Female,55-64,Own,Single-family unit,,Area A - North or Rock Prairie Rd. and West of Texas Ave.,,More than 20 years,Online,Neither,Two,No,Somewhat Unimportant,Somewhat Unimportant,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Unimportant,Somewhat Unimportant,Somewhat Unimportant,Somewhat Unimportant,Not Important At All,Very Important,Very Important,Very Important,Very Important,,,,,2,,,1,,,,,,,,,3,,,,,,,No Opinion,Excellent,Fair,Fair,Poor,No Opinion,Fair,Fair,Excellent,Poor,Fair,Fair,Fair,Fair,Fair,No Opinion,Fair,Fair,Fair,No Opinion,Fair,Fair,Fair,The city doesn't serve residents--particularly owner occupied si glen family homes without protection of HOAs.  Too much emphasis is given to rental property.  The management of this city is MERCENARY!!! Shame on you!,Good,Fair,Good,Excellent,Fair,Fair,Good,Poor,Poor,Not much any more.  We are overrun by apartments,Stop building apartments that congest roadways.  Enforce codes.,STOP building apartments,Decent restaurants,4,3,1,,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Unimportant,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Somewhat Unimportant,Very Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Somewhat Important,,2,,1,,,,,,,,,3,,,,,,,,,,,No,,Somewhat Safe,Staying the Same,Other,,,,,,,,Email,,,,3,2,1,,,,,Yes,Communicate by email,No Opinion,No Opinion,No Opinion,No Opinion,Somewhat Unimportant,Somewhat Important,Somewhat Important,Somewhat Unimportant,,None under 19 in household,,,,"(30.595071, -96.329426)"
8,Female,55-64,Own,Single-family unit,,Area C - South of Rock Prairie Rd. and West of Hwy. 6,,3 to  years,Online,Neither,One,No,Very Important,Somewhat Unimportant,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,,,3,,,,,,,,,,,,,,,,1,2,,,,Good,No Opinion,Fair,Good,Poor,Poor,No Opinion,Fair,Good,Fair,Good,Good,Fair,Fair,Fair,Good,Excellent,Good,Good,Excellent,Poor,Fair,Good,I think more citizen input into where apartment complexes are placed in the city is an important topic for the City Council Members to have public hearings about at least 4 times a year.  I also think it is important to do a traffic impact study for all surrounding neighborhoods when new multi-family units are being requested.,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Good,My neighborhood  is a small community with people who care about their neighbors and the children in the community.,Not so much corruption in the government in this city.  Several of the council members ran for the council to further their political careers.  Their campaigns are also being funded by developers which makes the council members appear to vote according to their benefactor instead of the constituents.,The top priority should be planning for improvements in our infrastructure to meet the growth that is anticipated.,More restaurants on the south side of College Station. More outlet stores in College Station,2,2,1,,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Unimportant,Somewhat Important,Very Important,Very Important,Somewhat Unimportant,Very Important,Very Important,,,,2,,,,,,,,,,,3,,,,,1,,,,Yes,Excellent,Somewhat Safe,Increasing,City website (cstx.gov),Local newspapers,Utility bill newsletter,,,,,,,2,3,,,1,,,,,,No,"Send out emails to all residents about what is on the agenda for city council meetings, and important events.  The Chamber sends out e-mails each Monday about upcoming events and other important information.",Excellent,Fair,Fair,No Opinion,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,"Glad to know the police will be getting a new headquarters.  It is important to have enough policemen to adequately cover all the neighborhoods.  We have to keep up with CS growth.  Likewise with fire fighters, we need to make sure we have enough facilities to handle our growth. The City Council needs a larger meeting room.",None under 19 in household,,,,"(30.5319423, -96.2972832)"
9,Female,65 or older,Own,Single-family unit,,Area B - North of Bird Pond Rd and East of Texas Ave.,,More than 20 years,Online,Texas A&M,One,Yes,Somewhat Unimportant,Somewhat Unimportant,Somewhat Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,,,,,,,,,,1,,,,,,,,,3,2,,,,No Opinion,Good,No Opinion,Good,Fair,No Opinion,Good,Good,Fair,Poor,Good,Fair,Fair,Excellent,Fair,Good,Excellent,Good,Good,Excellent,Good,Excellent,Excellent,I am Very concerned about traffic especially the closer you get to campus!High Impact development without improving the roads.Apartments at the expense of neighborhoods.,Good,Excellent,Good,Good,Fair,Good,Good,Good,Good,The people living in College Station.,The traffic issues,Traffic issues,,3,3,2,,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,,3,,,,,,1,,2,,,,,,,,,,,,,,Yes,Excellent,Somewhat Safe,Increasing,Local newspapers,Utility bill newsletter,Local TV stations,,,,,,,,1,,,3,2,,,,,Yes,,Fair,Good,Good,No Opinion,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,My understanding was that city hall was built so that a second story could be added.  Why not expand at present location.   Tear down old fire station for more room or more parking.,,,,,"(30.639968, -96.2746347)"
10,Male,35-44,Own,Single-family unit,,Area D - South of Bird Pond Rd. and East of Hwy. 6,,3 to  years,Online,Texas A&M,Two,Yes,Very Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Unimportant,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Unimportant,Somewhat Unimportant,Somewhat Important,Somewhat Unimportant,Very Important,Somewhat Important,Very Important,Very Important,,,,,,,,2,,1,,,,,,,,,3,,,,,Fair,No Opinion,No Opinion,Good,No Opinion,Good,Good,Poor,Fair,Poor,Fair,Good,No Opinion,Good,No Opinion,Good,Fair,No Opinion,Good,Good,Poor,Fair,Poor,"Recycling: collection of recycled trash is extremely sporadic. No clear schedule or rules.Cost of Water/Electricity: Lot of flags. High costs when not expected. Sometimes even low costs when high costs are expected. Not clear.City Center: None existent. Except for some plazas, there is not much for a small family to do. Mall is very poor.",Good,Excellent,Good,Fair,Good,Poor,Fair,Good,Good,Safety,A GOOD mall or walkable city center area,Activities for toddlers. There is nothing to do except for some sports events that are more suitable for children >6 yr old. Not much fun things to do for children 1-6 years,A good mall with good department stores,3,2,2,More knowledgeable employees,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Unimportant,Somewhat Important,Somewhat Important,Somewhat Unimportant,Somewhat Important,Not Important At All,Very Important,Somewhat Important,2,,,,,1,,,,3,,,,,,,,,,,,,,Yes,Good,Very Safe,Staying the Same,City website (cstx.gov),,,,,,,,,1,,,3,,,2,,,,Yes,,No Opinion,No Opinion,No Opinion,Good,Somewhat Important,Very Important,Somewhat Important,Very Important,,Under  years old,,,,"(30.6256267, -96.253038)"
